rev,phase,rotation_tick,track,sector,pos,sync_mark,gap_class,expected_gap_class,region,header_data_boundary,expected_boundary,track_sync_density_rows,gap_class_mismatch_rows,header_data_boundary_errors,alloc_count,blocks_free
1541,track_layout,291,18,7,3,0,1,1,1,0,0,32,0,0,16,648
1541,track_layout,294,18,7,4,0,1,1,2,1,1,32,0,0,16,648
1541,track_layout,297,18,7,5,0,1,1,2,0,0,32,0,0,16,648
1541,track_layout,301,18,7,6,0,2,2,3,0,0,32,0,0,16,648
1541,track_layout,304,18,7,7,0,2,2,3,0,0,32,0,0,16,648
1541,track_layout,310,19,0,0,1,0,0,1,0,0,33,0,0,16,648
1541,track_layout,315,19,0,1,1,0,0,1,0,0,34,0,0,16,648
1541,track_layout,320,19,0,2,0,1,1,1,0,0,34,0,0,16,648
1541,track_layout,326,19,0,3,0,1,1,1,0,0,34,0,0,17,647
1541,track_layout,331,19,0,4,0,1,1,2,1,1,34,0,0,17,647
1541,track_layout,336,19,0,5,0,1,1,2,0,0,34,0,0,17,647
1541,track_layout,342,19,0,6,0,2,2,3,0,0,34,0,0,17,647
1541,track_layout,347,19,0,7,0,2,2,3,0,0,34,0,0,17,647
1541,track_layout,353,19,1,0,1,0,0,1,0,0,35,0,0,17,647
1541,track_layout,358,19,1,1,1,0,0,1,0,0,36,0,0,17,647
1541,track_layout,363,19,1,2,0,1,1,1,0,0,36,0,0,17,647
1541,track_layout,369,19,1,3,0,1,1,1,0,0,36,0,0,18,646
1541,track_layout,374,19,1,4,0,1,1,2,1,1,36,0,0,18,646
1541,track_layout,379,19,1,5,0,1,1,2,0,0,36,0,0,18,646
1541,track_layout,385,19,1,6,0,2,2,3,0,0,36,0,0,18,646
1541,track_layout,390,19,1,7,0,2,2,3,0,0,36,0,0,18,646
1541,track_layout,396,19,2,0,1,0,0,1,0,0,37,0,0,18,646
1541,track_layout,401,19,2,1,1,0,0,1,0,0,38,0,0,18,646
