rev,phase,step,cycles,cpu_step_count,pc,cpu_last_opcode,cpu_advanced,via1_ifr,via2_ifr,via1_t1_irq,via2_sr_irq,iec_pull_clk,iec_pull_data,via1_t1_counter,via2_shift_bits,iec_state,eoi_pending,cadence_gap_max
1541II,integrated,18,19,5,49160,208,0,64,4,1,1,0,0,4,0,0,0,5
1541II,integrated,19,20,5,49160,208,0,64,4,1,1,0,0,3,0,0,0,5
1541II,integrated,20,21,6,49152,76,1,64,0,1,0,0,0,2,0,1,0,5
1541II,integrated,21,22,6,49152,76,0,64,0,1,0,1,1,1,0,0,0,5
1541II,integrated,22,23,6,49152,76,0,64,0,1,0,0,0,0,0,0,0,5
1541II,integrated,23,24,6,49152,76,0,64,0,1,0,0,0,5,0,0,0,5
1541II,integrated,24,25,7,49154,169,1,64,0,1,0,1,1,4,0,0,0,5
1541II,integrated,25,26,7,49154,169,0,64,0,1,0,1,1,3,0,0,0,5
1541II,integrated,26,27,8,49162,32,1,64,0,1,0,0,0,2,0,0,0,5
1541II,integrated,27,28,8,49162,32,0,64,0,1,0,0,0,1,0,1,0,5
1541II,integrated,28,29,8,49162,32,0,64,0,1,0,1,1,0,0,0,0,5
1541II,integrated,29,30,8,49162,32,0,64,0,1,0,1,1,5,0,0,0,5
1541II,integrated,30,31,8,49162,32,0,64,0,1,0,0,0,4,0,0,0,5
1541II,integrated,31,32,8,49162,32,0,64,0,1,0,0,0,3,0,0,0,5
1541II,integrated,32,33,9,49164,162,1,64,0,1,0,1,1,2,0,0,0,5
1541II,integrated,33,34,9,49164,162,0,64,0,1,0,1,1,1,0,0,0,5
1541II,integrated,34,35,10,49157,96,1,64,0,1,0,0,0,0,0,1,0,5
1541II,integrated,35,36,10,49157,96,0,64,0,1,0,0,0,5,0,0,0,5
