rev,phase,step,cycles,mode,atn,clk,data,pull_clk,pull_data,edge_slew_ticks,polarity_mismatch,turnaround_ticks,iec_state,pending_rx,pending_tx,rx_processed,tx_served,cpu_step_count,cadence_gap_max
1541II,signal,25,26,2,1,1,0,0,1,1,0,0,3,0,69,4,1,7,5
1541II,signal,26,27,2,1,1,0,0,1,2,0,0,3,0,69,4,1,7,5
1541II,signal,27,28,2,1,1,0,0,1,3,0,0,3,0,69,4,1,7,5
1541II,signal,28,29,2,1,0,0,1,1,0,1,0,3,0,69,4,1,8,5
1541II,signal,29,30,2,1,0,0,1,1,1,1,0,3,0,69,4,1,8,5
1541II,signal,30,31,2,1,0,0,1,1,2,1,0,3,0,69,4,1,9,5
1541II,signal,31,32,2,1,1,0,0,1,0,0,0,3,0,69,4,1,9,5
1541II,signal,32,33,2,1,1,0,0,1,1,0,0,3,0,69,4,1,9,5
1541II,signal,33,34,2,1,0,0,0,1,0,0,0,3,0,69,4,1,9,5
1541II,signal,34,35,2,1,1,0,0,1,0,0,0,3,0,69,4,1,9,5
1541II,signal,35,36,2,0,1,1,0,0,0,0,0,1,0,69,4,1,9,5
1541II,signal,36,37,2,1,0,0,1,1,0,1,0,3,0,69,4,1,10,5
1541II,signal,37,38,2,1,0,0,1,1,1,1,0,3,0,69,4,1,10,5
1541II,signal,38,39,2,1,0,0,0,1,2,0,0,3,0,68,4,2,10,5
1541II,signal,39,40,2,1,1,0,0,1,0,0,0,3,0,68,4,2,10,5
1541II,signal,40,41,2,1,1,0,0,1,1,0,0,3,0,68,4,2,11,5
1541II,signal,41,42,2,1,1,0,0,1,2,0,0,3,0,68,4,2,11,5
1541II,signal,42,43,1,1,0,0,1,1,0,0,0,2,0,68,5,2,12,5
1541II,signal,43,44,1,1,0,0,1,1,1,0,0,2,0,68,5,2,12,5
1541II,signal,44,45,1,1,0,0,1,1,2,0,0,2,0,68,5,2,12,5
1541II,signal,45,46,1,1,1,0,0,0,0,0,0,2,0,68,5,2,12,5
1541II,signal,46,47,1,1,1,1,0,0,0,0,0,2,0,68,5,2,12,5
1541II,signal,47,48,1,1,1,1,0,0,1,0,0,2,0,68,5,2,12,5
1541II,signal,48,49,1,1,0,1,0,0,0,0,0,2,0,68,5,2,13,5
1541II,signal,49,50,1,1,0,0,1,1,0,0,0,2,0,68,5,2,13,5
1541II,signal,50,51,1,1,0,0,1,1,1,0,0,2,0,68,5,2,14,5
1541II,signal,51,52,1,1,0,0,1,1,2,0,0,2,0,68,5,2,14,5
1541II,signal,52,53,0,1,1,1,0,0,0,0,0,0,0,68,5,2,14,5
1541II,signal,53,54,1,0,0,1,0,0,0,0,0,1,0,68,5,2,14,5
1541II,signal,54,55,0,1,1,1,0,0,0,0,0,0,0,68,5,2,14,5
1541II,signal,55,56,0,1,1,1,0,0,1,0,0,0,0,68,5,2,14,5
1541II,signal,56,57,0,1,0,0,1,1,0,0,0,0,0,68,5,2,15,5
1541II,signal,57,58,0,1,0,0,1,1,1,0,0,0,0,68,5,2,15,5
1541II,signal,58,59,0,1,0,0,1,1,2,0,0,0,0,68,5,2,15,5
1541II,signal,59,60,0,1,1,1,0,0,0,0,0,0,0,68,5,2,15,5
1541II,signal,60,61,0,1,1,1,0,0,1,0,0,0,0,68,5,2,16,5
1541II,signal,61,62,0,1,1,1,0,0,2,0,0,0,0,68,5,2,16,5
1541II,signal,62,63,1,0,1,1,0,0,3,0,0,1,0,68,5,2,17,5
1541II,signal,63,64,0,1,0,0,1,1,0,0,0,0,0,68,5,2,17,5
1541II,signal,64,65,0,1,0,0,1,1,1,0,0,0,0,68,5,2,17,5
1541II,signal,65,66,0,1,0,0,1,1,2,0,0,0,0,68,5,2,17,5
1541II,signal,66,67,0,1,1,1,0,0,0,0,0,0,0,68,5,2,17,5
1541II,signal,67,68,0,1,1,1,0,0,1,0,0,0,0,68,5,2,17,5
1541II,signal,68,69,0,1,0,1,0,0,0,0,0,0,0,68,5,2,18,5
1541II,signal,69,70,0,1,1,0,0,0,0,0,0,0,0,68,5,2,18,5
1541II,signal,70,71,0,1,0,0,1,1,0,0,0,0,0,68,5,2,19,5
1541II,signal,71,72,1,0,1,1,0,0,0,0,0,1,0,68,5,2,19,5
