rev,phase,step,cycles,mode,atn_level,clk_level,data_level,atn_rise_ticks,atn_fall_ticks,clk_rise_ticks,clk_fall_ticks,data_rise_ticks,data_fall_ticks,polarity_glitch,turnaround_ticks,iec_state,pending_rx,pending_tx,rx_processed,tx_served,cpu_step_count,cadence_gap_max
1541II,analog,15,16,0,1000,360,0,0,0,0,2,0,2,0,-1,0,0,67,4,0,4,5
1541II,analog,16,17,0,1000,540,170,0,0,0,2,0,2,0,-1,0,0,67,4,0,5,5
1541II,analog,17,18,0,1000,720,340,0,0,4,2,0,2,0,-1,0,0,67,4,0,5,5
1541II,analog,18,19,0,1000,220,510,0,0,4,1,0,2,0,-1,0,0,67,4,0,5,5
1541II,analog,19,20,0,1000,0,0,0,0,4,1,0,2,0,-1,0,0,67,4,0,5,5
1541II,analog,20,21,0,1000,0,0,0,0,4,1,0,2,0,-1,0,0,67,4,0,6,5
1541II,analog,21,22,0,550,0,0,0,0,4,1,0,2,0,-1,0,0,67,4,0,6,5
1541II,analog,22,23,0,770,0,0,0,0,4,1,0,2,0,-1,0,0,67,4,0,7,5
1541II,analog,23,24,0,990,0,170,0,0,4,1,0,2,0,-1,0,0,67,4,0,7,5
1541II,analog,24,25,2,1000,180,340,0,0,4,1,0,2,1,0,3,0,71,4,0,7,5
1541II,analog,25,26,2,1000,360,510,0,0,4,1,0,2,1,0,3,0,71,4,0,7,5
1541II,analog,26,27,2,1000,540,680,0,0,4,1,0,2,1,0,3,0,71,4,0,7,5
1541II,analog,27,28,2,1000,720,160,0,0,4,1,0,2,0,0,3,0,71,4,0,7,5
1541II,analog,28,29,2,1000,220,0,0,0,4,1,0,2,1,0,3,0,70,4,1,8,5
1541II,analog,29,30,2,1000,0,0,0,0,4,1,0,2,1,0,3,0,70,4,1,8,5
1541II,analog,30,31,2,1000,0,0,0,0,4,1,0,2,1,0,3,0,70,4,1,9,5
1541II,analog,31,32,2,1000,0,0,0,0,4,1,0,2,1,0,3,0,70,4,1,9,5
1541II,analog,32,33,2,1000,180,170,0,0,4,1,0,2,1,0,3,0,70,4,1,9,5
1541II,analog,33,34,2,1000,0,0,0,0,4,1,0,2,1,0,3,0,70,4,1,9,5
1541II,analog,34,35,2,1000,180,170,0,0,4,1,0,2,1,0,3,0,70,4,1,9,5
