phase,cycle,pixel,op,bus_window,fetch,tick_actions,predicate_mask,fetch_plan,commit_plan,addr_formula0,addr_formula1
PHI1,12,2,SPRITE,0,SPRITE_DATA1,0,1,SPRITE_DATA1,SPRITE_DATA1,SPRITE_DATA1,NONE
PHI1,12,3,SPRITE,0,SPRITE_DATA2,0,1,SPRITE_DATA2,SPRITE_DATA2,SPRITE_DATA2,NONE
PHI1,12,4,SPRITE,0,NONE,0,1,NONE,NONE,NONE,NONE
PHI1,12,5,SPRITE,0,NONE,0,1,NONE,NONE,NONE,NONE
PHI1,12,6,SPRITE,0,NONE,0,1,NONE,NONE,NONE,NONE
PHI1,12,7,SPRITE,0,NONE,0,1,NONE,NONE,NONE,NONE
PHI1,13,0,SPRITE,0,SPRITE_PTR,0,1,SPRITE_PTR,SPRITE_PTR,SPRITE_PTR,NONE
PHI1,13,1,SPRITE,0,SPRITE_DATA0,0,1,SPRITE_DATA0,SPRITE_DATA0,SPRITE_DATA0,NONE
PHI1,13,2,SPRITE,0,SPRITE_DATA1,0,1,SPRITE_DATA1,SPRITE_DATA1,SPRITE_DATA1,NONE
PHI1,13,3,SPRITE,0,SPRITE_DATA2,0,1,SPRITE_DATA2,SPRITE_DATA2,SPRITE_DATA2,NONE
PHI1,13,4,SPRITE,0,NONE,0,1,NONE,NONE,NONE,NONE
PHI1,13,5,SPRITE,0,NONE,0,1,NONE,NONE,NONE,NONE
PHI1,13,6,SPRITE,0,NONE,0,1,NONE,NONE,NONE,NONE
PHI1,13,7,SPRITE,0,NONE,0,1,NONE,NONE,NONE,NONE
PHI1,14,0,SPRITE,0,SPRITE_PTR,0,1,SPRITE_PTR,SPRITE_PTR,SPRITE_PTR,NONE
PHI1,14,1,SPRITE,0,SPRITE_DATA0,0,1,SPRITE_DATA0,SPRITE_DATA0,SPRITE_DATA0,NONE
PHI1,14,2,SPRITE,0,SPRITE_DATA1,0,1,SPRITE_DATA1,SPRITE_DATA1,SPRITE_DATA1,NONE
PHI1,14,3,SPRITE,0,SPRITE_DATA2,0,1,SPRITE_DATA2,SPRITE_DATA2,SPRITE_DATA2,NONE
PHI1,14,4,SPRITE,0,NONE,0,1,NONE,NONE,NONE,NONE
PHI1,14,5,SPRITE,0,NONE,0,1,NONE,NONE,NONE,NONE
PHI1,14,6,SPRITE,0,NONE,0,1,NONE,NONE,NONE,NONE
PHI1,14,7,SPRITE,0,NONE,0,1,NONE,NONE,NONE,NONE
PHI1,15,0,VIDEO,0,VIDEO_MEMPTR_SCREEN,0,0,VIDEO_MEMPTR_SCREEN,VIDEO_MEMPTR_SCREEN,VIDEO_MEMPTR,VIDEO_SCREEN
PHI1,15,1,VIDEO,0,VIDEO_COLOR,0,0,VIDEO_COLOR,VIDEO_COLOR,VIDEO_COLOR,NONE
PHI1,15,2,VIDEO,0,VIDEO_PATTERN,0,0,VIDEO_PATTERN,VIDEO_PATTERN,VIDEO_PATTERN,NONE
PHI1,15,3,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,15,4,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,15,5,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,15,6,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,15,7,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,16,0,VIDEO,0,VIDEO_MEMPTR_SCREEN,0,0,VIDEO_MEMPTR_SCREEN,VIDEO_MEMPTR_SCREEN,VIDEO_MEMPTR,VIDEO_SCREEN
PHI1,16,1,VIDEO,0,VIDEO_COLOR,0,0,VIDEO_COLOR,VIDEO_COLOR,VIDEO_COLOR,NONE
PHI1,16,2,VIDEO,0,VIDEO_PATTERN,0,0,VIDEO_PATTERN,VIDEO_PATTERN,VIDEO_PATTERN,NONE
PHI1,16,3,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,16,4,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,16,5,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,16,6,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,16,7,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,17,0,VIDEO,0,VIDEO_MEMPTR_SCREEN,0,0,VIDEO_MEMPTR_SCREEN,VIDEO_MEMPTR_SCREEN,VIDEO_MEMPTR,VIDEO_SCREEN
PHI1,17,1,VIDEO,0,VIDEO_COLOR,0,0,VIDEO_COLOR,VIDEO_COLOR,VIDEO_COLOR,NONE
PHI1,17,2,VIDEO,0,VIDEO_PATTERN,0,0,VIDEO_PATTERN,VIDEO_PATTERN,VIDEO_PATTERN,NONE
PHI1,17,3,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,17,4,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,17,5,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,17,6,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,17,7,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,18,0,VIDEO,0,VIDEO_MEMPTR_SCREEN,0,0,VIDEO_MEMPTR_SCREEN,VIDEO_MEMPTR_SCREEN,VIDEO_MEMPTR,VIDEO_SCREEN
PHI1,18,1,VIDEO,0,VIDEO_COLOR,0,0,VIDEO_COLOR,VIDEO_COLOR,VIDEO_COLOR,NONE
PHI1,18,2,VIDEO,0,VIDEO_PATTERN,0,0,VIDEO_PATTERN,VIDEO_PATTERN,VIDEO_PATTERN,NONE
PHI1,18,3,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,18,4,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,18,5,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,18,6,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,18,7,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,19,0,VIDEO,0,VIDEO_MEMPTR_SCREEN,0,0,VIDEO_MEMPTR_SCREEN,VIDEO_MEMPTR_SCREEN,VIDEO_MEMPTR,VIDEO_SCREEN
PHI1,19,1,VIDEO,0,VIDEO_COLOR,0,0,VIDEO_COLOR,VIDEO_COLOR,VIDEO_COLOR,NONE
PHI1,19,2,VIDEO,0,VIDEO_PATTERN,0,0,VIDEO_PATTERN,VIDEO_PATTERN,VIDEO_PATTERN,NONE
PHI1,19,3,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,19,4,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,19,5,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,19,6,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,19,7,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,20,0,VIDEO,0,VIDEO_MEMPTR_SCREEN,0,0,VIDEO_MEMPTR_SCREEN,VIDEO_MEMPTR_SCREEN,VIDEO_MEMPTR,VIDEO_SCREEN
PHI1,20,1,VIDEO,0,VIDEO_COLOR,0,0,VIDEO_COLOR,VIDEO_COLOR,VIDEO_COLOR,NONE
PHI1,20,2,VIDEO,0,VIDEO_PATTERN,0,0,VIDEO_PATTERN,VIDEO_PATTERN,VIDEO_PATTERN,NONE
PHI1,20,3,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,20,4,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,20,5,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,20,6,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,20,7,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,21,0,VIDEO,0,VIDEO_MEMPTR_SCREEN,0,0,VIDEO_MEMPTR_SCREEN,VIDEO_MEMPTR_SCREEN,VIDEO_MEMPTR,VIDEO_SCREEN
PHI1,21,1,VIDEO,0,VIDEO_COLOR,0,0,VIDEO_COLOR,VIDEO_COLOR,VIDEO_COLOR,NONE
PHI1,21,2,VIDEO,0,VIDEO_PATTERN,0,0,VIDEO_PATTERN,VIDEO_PATTERN,VIDEO_PATTERN,NONE
PHI1,21,3,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,21,4,VIDEO,0,NONE,0,0,NONE,NONE,NONE,NONE
