rev,phase,rotation_tick,sector,slot,gcr_symbol,decoded_nibble,symbol_ok,sync_mark,sync_detect_rows,illegal_symbol_rows,sync_lock_latency_max,decode_window,read_window_jitter_max,alloc_count,blocks_free
1541II,gcr_decode,80,9,7,19,3,1,0,20,0,8,2,6,10,654
1541II,gcr_decode,81,10,0,26,10,1,1,21,0,8,0,6,10,654
1541II,gcr_decode,82,10,1,27,11,1,1,22,0,8,0,6,10,654
1541II,gcr_decode,83,10,2,13,12,1,0,22,0,8,1,6,10,654
1541II,gcr_decode,84,10,3,29,13,1,0,22,0,8,2,6,11,653
1541II,gcr_decode,85,10,4,30,14,1,0,22,0,8,3,6,11,653
1541II,gcr_decode,86,10,5,23,15,1,0,22,0,8,4,6,11,653
1541II,gcr_decode,87,10,6,19,3,1,0,22,0,8,1,6,11,653
1541II,gcr_decode,88,10,7,14,4,1,0,22,0,8,2,6,11,653
1541II,gcr_decode,89,11,0,27,11,1,1,23,0,8,0,6,11,653
1541II,gcr_decode,90,11,1,13,12,1,1,24,0,8,0,6,11,653
1541II,gcr_decode,91,11,2,29,13,1,0,24,0,8,1,6,11,653
1541II,gcr_decode,92,11,3,30,14,1,0,24,0,8,2,6,12,652
1541II,gcr_decode,93,11,4,23,15,1,0,24,0,8,3,6,12,652
1541II,gcr_decode,94,11,5,10,0,1,0,24,0,8,4,6,12,652
1541II,gcr_decode,95,11,6,14,4,1,0,24,0,8,1,6,12,652
1541II,gcr_decode,96,11,7,15,5,1,0,24,0,8,2,6,12,652
