rev,phase,step,cycles,cpu_step_count,pc,cpu_last_opcode,cpu_advanced,via_irq_or,eoi_pending,eoi_wait_ticks,eoi_timeout_count,tx_timeout_count,rx_timeout_count,iec_state,iec_pull_clk,iec_pull_data,pending_tx,status_code,cadence_gap_max
1541C,timeout,42,43,13,49164,162,1,1,0,0,1,1,0,2,1,1,0,74,5
1541C,timeout,43,44,13,49164,162,0,1,0,0,1,1,0,2,1,1,0,74,5
1541C,timeout,44,45,14,49158,96,1,1,0,0,1,1,0,2,0,0,0,74,5
1541C,timeout,45,46,14,49158,96,0,1,0,0,1,1,0,2,0,0,0,74,5
1541C,timeout,46,47,14,49158,96,0,1,0,0,1,1,1,2,0,0,0,74,5
1541C,timeout,47,48,14,49158,96,0,1,0,0,1,1,1,2,0,0,0,74,5
1541C,timeout,48,49,14,49158,96,0,1,0,0,1,1,1,1,0,0,0,74,5
1541C,timeout,49,50,14,49158,96,0,1,0,0,1,1,1,2,1,1,0,74,5
1541C,timeout,50,51,15,49161,208,1,1,0,0,1,1,1,2,1,1,0,74,5
1541C,timeout,51,52,15,49161,208,0,1,0,0,1,1,1,2,1,1,0,74,5
1541C,timeout,52,53,15,49161,208,0,1,0,0,1,1,1,2,0,0,0,74,5
1541C,timeout,53,54,15,49161,208,0,1,0,0,1,1,1,2,0,0,0,74,5
1541C,timeout,54,55,16,49162,0,1,1,0,0,1,1,1,2,0,0,0,74,5
1541C,timeout,55,56,16,49162,0,0,1,0,0,1,1,1,1,0,0,0,74,5
1541II,timeout,0,1,1,49153,88,1,0,0,0,0,0,0,0,1,1,0,0,0
1541II,timeout,1,2,1,49153,88,0,0,0,0,0,0,0,0,1,1,0,0,0
1541II,timeout,2,3,2,49155,169,1,0,0,0,0,0,0,0,1,1,0,0,1
1541II,timeout,3,4,2,49155,169,0,0,0,0,0,0,0,0,1,1,0,0,1
1541II,timeout,4,5,3,49162,32,1,0,0,0,0,0,0,0,0,0,0,0,1
1541II,timeout,5,6,3,49162,32,0,0,0,0,0,0,0,0,0,0,0,0,1
1541II,timeout,6,7,3,49162,32,0,0,0,0,0,0,0,1,0,0,0,0,1
1541II,timeout,7,8,3,49162,32,0,1,0,0,0,0,0,0,0,0,0,0,1
1541II,timeout,8,9,3,49162,32,0,1,0,0,0,0,0,0,1,1,0,0,1
1541II,timeout,9,10,3,49162,32,0,1,0,0,0,0,0,0,1,1,0,0,1
1541II,timeout,10,11,4,49164,162,1,1,0,0,0,0,0,0,1,1,0,0,5
1541II,timeout,11,12,4,49164,162,0,1,0,0,0,0,0,0,1,1,0,0,5
1541II,timeout,12,13,5,49158,96,1,1,0,0,0,0,0,0,0,0,0,0,5
1541II,timeout,13,14,5,49158,96,0,1,0,0,0,0,0,1,0,0,0,0,5
1541II,timeout,14,15,5,49158,96,0,1,0,0,0,0,0,0,0,0,0,0,5
1541II,timeout,15,16,5,49158,96,0,1,0,0,0,0,0,0,0,0,0,0,5
1541II,timeout,16,17,5,49158,96,0,1,1,251,0,0,0,4,1,1,0,0,5
1541II,timeout,17,18,5,49158,96,0,1,1,252,0,0,0,4,1,1,0,0,5
1541II,timeout,18,19,6,49161,208,1,1,1,253,0,0,0,4,1,1,0,0,5
1541II,timeout,19,20,6,49161,208,0,1,1,254,0,0,0,4,1,1,0,0,5
1541II,timeout,20,21,6,49161,208,0,1,1,255,0,0,0,4,0,0,0,0,5
1541II,timeout,21,22,6,49161,208,0,1,1,256,0,0,0,4,0,0,0,0,5
1541II,timeout,22,23,7,49162,0,1,1,0,0,1,0,0,4,0,0,0,74,5
1541II,timeout,23,24,7,49162,0,0,1,0,0,1,0,0,3,0,0,0,74,5
1541II,timeout,24,25,8,49164,162,1,1,0,0,1,0,0,3,1,1,0,74,5
1541II,timeout,25,26,8,49164,162,0,1,0,0,1,0,0,3,1,1,0,74,5
1541II,timeout,26,27,9,49152,96,1,1,0,0,1,0,0,3,1,1,0,74,5
1541II,timeout,27,28,9,49152,96,0,1,0,0,1,0,0,3,1,1,0,74,5
1541II,timeout,28,29,9,49152,96,0,1,0,0,1,0,0,3,0,0,0,74,5
1541II,timeout,29,30,9,49152,96,0,1,0,0,1,0,0,3,0,0,0,74,5
1541II,timeout,30,31,9,49152,96,0,1,0,0,1,0,0,3,0,0,0,74,5
1541II,timeout,31,32,9,49152,96,0,1,0,0,1,0,0,3,0,0,0,74,5
1541II,timeout,32,33,10,49153,88,1,1,0,0,1,1,0,3,1,1,0,74,5
1541II,timeout,33,34,10,49153,88,0,1,0,0,1,1,0,3,1,1,0,74,5
1541II,timeout,34,35,11,49155,169,1,1,0,0,1,1,0,1,0,0,0,74,5
1541II,timeout,35,36,11,49155,169,0,1,0,0,1,1,0,3,1,1,0,74,5
1541II,timeout,36,37,12,49162,32,1,1,0,0,1,1,0,3,0,0,0,74,5
1541II,timeout,37,38,12,49162,32,0,1,0,0,1,1,0,3,0,0,0,74,5
1541II,timeout,38,39,12,49162,32,0,1,0,0,1,1,0,3,0,0,0,74,5
1541II,timeout,39,40,12,49162,32,0,1,0,0,1,1,0,3,0,0,0,74,5
1541II,timeout,40,41,12,49162,32,0,1,0,0,1,1,0,2,1,1,0,74,5
1541II,timeout,41,42,12,49162,32,0,1,0,0,1,1,0,2,1,1,0,74,5
1541II,timeout,42,43,13,49164,162,1,1,0,0,1,1,0,2,1,1,0,74,5
1541II,timeout,43,44,13,49164,162,0,1,0,0,1,1,0,2,1,1,0,74,5
1541II,timeout,44,45,14,49158,96,1,1,0,0,1,1,0,2,0,0,0,74,5
1541II,timeout,45,46,14,49158,96,0,1,0,0,1,1,0,2,0,0,0,74,5
1541II,timeout,46,47,14,49158,96,0,1,0,0,1,1,1,2,0,0,0,74,5
1541II,timeout,47,48,14,49158,96,0,1,0,0,1,1,1,2,0,0,0,74,5
1541II,timeout,48,49,14,49158,96,0,1,0,0,1,1,1,1,0,0,0,74,5
1541II,timeout,49,50,14,49158,96,0,1,0,0,1,1,1,2,1,1,0,74,5
1541II,timeout,50,51,15,49161,208,1,1,0,0,1,1,1,2,1,1,0,74,5
1541II,timeout,51,52,15,49161,208,0,1,0,0,1,1,1,2,1,1,0,74,5
1541II,timeout,52,53,15,49161,208,0,1,0,0,1,1,1,2,0,0,0,74,5
1541II,timeout,53,54,15,49161,208,0,1,0,0,1,1,1,2,0,0,0,74,5
1541II,timeout,54,55,16,49162,0,1,1,0,0,1,1,1,2,0,0,0,74,5
1541II,timeout,55,56,16,49162,0,0,1,0,0,1,1,1,1,0,0,0,74,5
